,movie_names,year_release,imdb_ratings,metascores,votes,movie_description,certificate,runtime,genre,director_name,gross_value
0,Parasite,(2019),8.6,96.0,265908.0,"
    A poor family, the Kims, con their way into becoming the servants of a rich family, the Parks. But their easy life gets complicated when their deception is threatened with exposure.",R,132 min,"
Comedy, Drama, Thriller            ",Bong Joon Ho,
1,Jojo Rabbit,(2019),8.0,58.0,132181.0,"
    A young boy in Hitler's army finds out his mother is hiding a Jewish girl in their home.",PG-13,108 min,"
Comedy, Drama, War            ",Taika Waititi,"349,555"
2,Sonic the Hedgehog,(2020),6.9,47.0,14401.0,"
    After discovering a small, blue, fast hedgehog, a small-town police officer must help it defeat an evil genius who wants to do experiments on it.",PG,99 min,"
Action, Adventure, Comedy            ",Jeff Fowler,
3,Once Upon a Time... in Hollywood,(2019),7.7,83.0,390536.0,"
    A faded television actor and his stunt double strive to achieve fame and success in the film industry during the final years of Hollywood's Golden Age in 1969 Los Angeles.",R,161 min,"
Comedy, Drama            ",Quentin Tarantino,"135,371,627"
4,Knives Out,(2019),8.0,82.0,183924.0,"
    A detective investigates the death of a patriarch of an eccentric, combative family.",PG-13,131 min,"
Comedy, Crime, Drama            ",Rian Johnson,
5,The French Dispatch,(2020),,,,"
    A love letter to journalists set in an outpost of an American newspaper in a fictional 20th-century French city that brings to life a collection of stories published in ""The French Dispatch"" magazine.",R,108 min,"
Comedy, Drama, Romance            ",Wes Anderson,
6,Sex Education,(2019– ),8.3,,111281.0,"
    A teenage boy with a sex therapist mother teams up with a high school classmate to set up an underground sex therapy clinic at school.",TV-MA,45 min,"
Comedy, Drama            ",Asa Butterfield,
7,Marriage Story,(2019),8.0,93.0,175580.0,"
    Noah Baumbach's incisive and compassionate look at a marriage breaking up and a family staying together.",R,137 min,"
Comedy, Drama, Romance            ",Noah Baumbach,
8,Fantasy Island,(2020),4.7,21.0,3455.0,"
    A horror adaptation of the popular '70s TV show about a magical island resort.",PG-13,109 min,"
Adventure, Comedy, Horror            ",Jeff Wadlow,
9,Dolittle,(2020),5.5,26.0,15295.0,"
    A physician who can talk to animals embarks on an adventure to find a legendary island with a young apprentice and a crew of strange pets.",PG,101 min,"
Action, Adventure, Comedy            ",Stephen Gaghan,
10,Bad Boys For Life,(2020),7.2,59.0,39997.0,"
    The Bad Boys Mike Lowrey and Marcus Burnett are back together for one last ride in the highly anticipated Bad Boys for Life.",R,124 min,"
Action, Comedy, Crime            ",Adil El Arbi,
11,Brooklyn Nine-Nine,(2013– ),8.4,,179105.0,"
    Jake Peralta, an immature, but talented N.Y.P.D. detective in Brooklyn's 99th Precinct, comes into immediate conflict with his new commanding officer, the serious and stern Captain Ray Holt.",TV-14,22 min,"
Comedy, Crime            ",Andy Samberg,
12,Toy Story 4,(2019),7.9,84.0,158051.0,"
    When a new toy called ""Forky"" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy.",G,100 min,"
Animation, Adventure, Comedy            ",Josh Cooley,"433,033,071"
13,BoJack Horseman,(2014–2020),8.7,,87898.0,"
    BoJack Horseman was the star of the hit television show ""Horsin' Around"" in the '80s and '90s, now he's washed up, living in Hollywood, complaining about everything, and wearing colorful sweaters.",TV-MA,25 min,"
Animation, Comedy, Drama            ",Will Arnett,
