,post,tweet_id,retweeted,timestamp,screenname,name
0,"RT @DalhousieU: ICYMI: the documentary film ""There's Something in the Water"", directed and produced by @EllenPage and @ianjdaniel, and base…",1231379455765073923,False,2020-02-23 00:45:14,EllenPage,Ellen Page
1,RT @DalNursing: .@EllenPage: “The more we filmed … the more incredible women we met”. Read @joan_baxter's @HfxExaminer interview with Page…,1231060163542626305,False,2020-02-22 03:36:29,EllenPage,Ellen Page
2,@HABlackFilmFest @iwaldron2165 Thank you!,1231056482902462466,False,2020-02-22 03:21:52,EllenPage,Ellen Page
3,"RT @HABlackFilmFest: Happy Birthday, @EllenPage! 🎂 We're excited to screen ""There's Something In the Water"" next week at #HBFF20!",1231056411267936257,False,2020-02-22 03:21:35,EllenPage,Ellen Page
4,@etalkCTV Thank you 🙏,1230988627280322560,False,2020-02-21 22:52:14,EllenPage,Ellen Page
5,Awwww miss you too! ❤️ @AllisonBJanney https://t.co/MNcEZ2JprA,1230942762071183360,False,2020-02-21 19:49:58,EllenPage,Ellen Page
6,RT @LeoDiCaprio: Looking forward to this @EllenPage,1230883402464845826,False,2020-02-21 15:54:06,EllenPage,Ellen Page
7,Thank you for the support! @LeoDiCaprio https://t.co/4jynGVSsJ8,1230883242884108290,False,2020-02-21 15:53:28,EllenPage,Ellen Page
8,"RT @joan_baxter: Some of the incredible women in ""There's Something In The Water:""  @EllenPage @iwaldron2165 @Mikmaq_Mic @ndngrandmother @A…",1230858989426085888,False,2020-02-21 14:17:05,EllenPage,Ellen Page
9,@tylersimmonds Thank you!!,1230825190847897600,False,2020-02-21 12:02:47,EllenPage,Ellen Page
10,RT @BFI: Can you identify these Martin Scorsese movies from their first shots? https://t.co/w3xnUiQOJu https://t.co/GYEP8x8UfG,950536643865448448,False,2018-01-09 01:16:10,Scorsese4Ever,Martin Scorsese 4Evr
11,"RT @BFI: On the centenary of one of the great cinematographers, we celebrate the man who shot for Lynch and Scorsese – and directed his own…",944376049336496128,False,2017-12-23 01:16:10,Scorsese4Ever,Martin Scorsese 4Evr
12,"RT @BFI: ""I drew my own little films on paper – in different aspect ratios"". Seven things we learned from Martin Scorsese #bornonthisday ht…",931692461369544705,False,2017-11-18 01:16:07,Scorsese4Ever,Martin Scorsese 4Evr
13,Filmloversareverysickpeople: Martin Scorsese 1977  ~  https://t.co/eAH0j75qe7 https://t.co/PzEOJUWZxc,927084647351234560,False,2017-11-05 08:06:18,Scorsese4Ever,Martin Scorsese 4Evr
14,Filmloversareverysickpeople: Martin Scorsese 1977  .  https://t.co/eAH0j75qe7 https://t.co/O4uTCTRvJQ,927039478325235713,False,2017-11-05 05:06:49,Scorsese4Ever,Martin Scorsese 4Evr
15,Filmloversareverysickpeople: Martin Scorsese 1977  https://t.co/eAH0j75qe7 https://t.co/49b4jwgJAX,927008356610596864,False,2017-11-05 03:03:09,Scorsese4Ever,Martin Scorsese 4Evr
16,martinscorsese_: Great time at today's special luncheon for #Si... ~  https://t.co/iFBt3S1gBn #MartinScorsese https://t.co/GcpipVP2IL,925075864542437376,False,2017-10-30 19:04:07,Scorsese4Ever,Martin Scorsese 4Evr
