,post,tweet_id,retweeted,timestamp,screenname,name
0,@justinhmin rise n shine ☀️,1230219228445388800,False,2020-02-19 19:54:55,UmbrellaAcad,Umbrella Academy
1,@xalwayshigh @klauseyebrows @Beantacles @DavidCastanedaJ @justinhmin guilty,1230196174549913601,False,2020-02-19 18:23:18,UmbrellaAcad,Umbrella Academy
2,@fangirlburnham stepping down from this position as of now,1230196148775931906,False,2020-02-19 18:23:12,UmbrellaAcad,Umbrella Academy
3,@polarizespace @klauseyebrows @Beantacles @DavidCastanedaJ @justinhmin ceo of dedication u mean,1230196088948305922,False,2020-02-19 18:22:58,UmbrellaAcad,Umbrella Academy
4,@klauseyebrows @Beantacles @DavidCastanedaJ @justinhmin u tell me,1230195736765177856,False,2020-02-19 18:21:34,UmbrellaAcad,Umbrella Academy
5,@Beantacles @DavidCastanedaJ @justinhmin prince of paranormal activity of course,1230191835307483136,False,2020-02-19 18:06:04,UmbrellaAcad,Umbrella Academy
6,@DavidCastanedaJ prince of pointy things,1230189487176679425,False,2020-02-19 17:56:44,UmbrellaAcad,Umbrella Academy
7,"@astracora o ya, that's what that is?",1230179094077362179,False,2020-02-19 17:15:26,UmbrellaAcad,Umbrella Academy
8,@NXOnNetflix ⏳⏳⏳,1230177998642479104,False,2020-02-19 17:11:05,UmbrellaAcad,Umbrella Academy
9,@somenerdywolfok here we are...,1230177812914589702,False,2020-02-19 17:10:20,UmbrellaAcad,Umbrella Academy
10,Scorsese has officially confirmed that the #IrishmanMovie has finished production. https://t.co/fRXfWGHjy7,970829909512933384,False,2018-03-06 01:14:22,Irishman_Movie,The Irishman Movie
11,RT @NYSFILM: Martin Scorsese's THE IRISHMAN and @DeceptionABC gave back to the community with #FilmGoodDoGood service events in January.  R…,961326647352938501,False,2018-02-07 19:51:47,Irishman_Movie,The Irishman Movie
12,"On the streets of NYC, it’s whack or get whacked. #IrishmanMovie https://t.co/EPWPCRRgVY",960275363606786054,False,2018-02-04 22:14:22,Irishman_Movie,The Irishman Movie
13,"RT @BoDietl: Check out Bo as DeNiro's boss in Scorsese's ""The Irishman"" https://t.co/lGaMuPDInf",958728507856707584,False,2018-01-31 15:47:43,Irishman_Movie,The Irishman Movie
14,These revealed photos of 1973 Detroit Police Cars drew some inspiration from @DetroitMovie. #IrishmanMovie https://t.co/p8KVzyO7Ch,956601376661999617,False,2018-01-25 18:55:15,Irishman_Movie,The Irishman Movie
15,RT @DailyMailCeleb: Robert De Niro looks older with all-white hair for his new movie The Irishman https://t.co/0AWkmq7Uht,956599993409908736,False,2018-01-25 18:49:45,Irishman_Movie,The Irishman Movie
16,The first official poster is here. #IrishmanMovie @netflix https://t.co/zPDB7Ecp9u,956598344390008835,False,2018-01-25 18:43:12,Irishman_Movie,The Irishman Movie
17,RT @ThePlaylist: First Poster For Martin Scorsese’s ‘The Irishman’ https://t.co/AJLFzVbWBK https://t.co/paR1tBaNG2,956597619484131328,False,2018-01-25 18:40:19,Irishman_Movie,The Irishman Movie
18,We are proud to announce that @ActionBronson has joined the cast of the #IrishmanMovie.,956596626356887552,False,2018-01-25 18:36:23,Irishman_Movie,The Irishman Movie
19,It is of our knowledge that the #IrishmanMovie did not conclude filming this week. Filming WILL conclude in Februar… https://t.co/45NPZIxl0n,952584877588787201,False,2018-01-14 16:55:07,Irishman_Movie,The Irishman Movie
20,"When someone said ""I know you are, but what am I?"" in middle school. https://t.co/KJGU2akbPp",1231337873863041034,False,2020-02-22 22:00:00,nbcbrooklyn99,Brooklyn Nine-Nine
21,Guess you could say he causes mayhem. 😏 https://t.co/KAlxzTT6Yb,1231264638450487297,False,2020-02-22 17:09:00,nbcbrooklyn99,Brooklyn Nine-Nine
22,@glittermix99 @JoelMcKMiller Are you saying Joel doesn't deserve double the love??,1231014320298835968,False,2020-02-22 00:34:19,nbcbrooklyn99,Brooklyn Nine-Nine
23,@langindustry We were too excited about his birthday. 🥳,1231014190455771138,False,2020-02-22 00:33:48,nbcbrooklyn99,Brooklyn Nine-Nine
24,This is a @JoelMcKMiller  appreciation tweet. RT &amp; ❤️ to wish him a happy birthday! 🎉 https://t.co/eGx6jiJhH3,1231013377968758784,False,2020-02-22 00:30:35,nbcbrooklyn99,Brooklyn Nine-Nine
25,"RT @BrandonMillman: Another day, another primetime truth, this one courtesy of @nbcbrooklyn99 &amp; @vanessabayer. https://t.co/CpM2klJl6v",1230969405472821248,False,2020-02-21 21:35:51,nbcbrooklyn99,Brooklyn Nine-Nine
26,RT @JoelMcKMiller: Poor Scully. He can’t run and... he can’t hide. #Brooklyn99 @nbcbrooklyn99 https://t.co/QtlnTqwf5J,1230969361143234560,False,2020-02-21 21:35:40,nbcbrooklyn99,Brooklyn Nine-Nine
27,RT @ApplePodcasts: Go behind the scenes of #Brooklyn99 with the official podcast. @MarcEvanJackson cops a squat with guests to talk about o…,1230905077914714112,False,2020-02-21 17:20:14,nbcbrooklyn99,Brooklyn Nine-Nine
28,Rosa takes mind games to a new level. https://t.co/eI3GPVFlwc,1230869790048292866,False,2020-02-21 15:00:01,nbcbrooklyn99,Brooklyn Nine-Nine
29,You can tell a lot about a person based on what they have in their sandwich. #Brooklyn99 https://t.co/SD3VEEpvIK,1230715016711524352,False,2020-02-21 04:45:00,nbcbrooklyn99,Brooklyn Nine-Nine
