MV_ID,MV_NAME,MV_RELDATE,MV_RUNTIME,MV_RATING,MV_DIRECTOR,PC_NAME
5502,Mission: Impossible - Fallout,2018,147 min,7.8,Christopher McQuarrie,Paramount Pictures
5504,A Star Is Born,2018,136 min,7.8,Bradley Cooper,Warner Bros. Pictures
5507,You Were Never Really Here,2018,89 min,6.8,Lynne Ramsay,Amazon Studios
5508,A Quiet Place,2018,90 min,7.6,John Krasinski,Paramount Pictures
5509,The Miseducation of Cameron Post,2018,91 min,6.6,Desiree Akhavan,FilmRise
5511,Free Solo,2018,100 min,8.4,Elizabeth Chai Vasarhelyi,Greenwich Entertainment
5513,Deadpool 2,2018,119 min,7.8,David Leitch,20th Century Fox
5517,Avengers: Infinity War,2018,149 min,8.5,Joe Russo,Walt Disney Pictures
5518,BlacKkKlansman,2018,135 min,7.5,Spike Lee,Focus Features
5520,Assassination Nation,2018,108 min,5.9,Sam Levinson,NEON
5521,Incredibles 2,2018,118 min,7.8,Brad Bird,Disney/Pixar
5524,6 Balloons,2018,74 min,5.8,Marja-Lewis Ryan,Netflix
5525,Monsters and Men,2018,96 min,5.5,Reinaldo Marcus Green,NEON
5529,"Juliet, Naked",2018,97 min,6.6,Jesse Peretz,Lionsgate and Roadside Attractions
5532,RBG,2018,98 min,7.5,Betsy West,Magnolia Pictures
5533,Ready Player One,2018,140 min,7.5,Steven Spielberg,Warner Bros. Pictures
5534,Jurassic World: Fallen Kingdom,2018,128 min,6.2,J.A. Bayona,Universal Pictures
5536,Game Night,2018,100 min,7.0,Jonathan Goldstein,New Line Cinema
5539,Annihilation,2018,115 min,6.9,Alex Garland,Paramount Pictures
5541,Hereditary,2018,127 min,7.3,Ari Aster,Windy Hill Pictures
5542,Unsane,2018,98 min,6.4,Steven Soderbergh,Fingerprint Releasing and Bleecker Street
5544,Aquaman,2018,143 min,7.3,James Wan,Warner Bros. Pictures
5549,Blockers,2018,102 min,6.2,Kay Cannon,Universal Pictures
5552,Support the Girls,2018,93 min,6.5,Andrew Bujalski,Magnolia Pictures
5553,The Equalizer 2,2018,121 min,6.7,Antoine Fuqua,Columbia Pictures
5554,"Love, Simon",2018,110 min,7.7,Greg Berlanti,20th Century Fox
5556,Den of Thieves,2018,140 min,7.0,Christian Gudegast,STX Entertainment
5559,Bumblebee,2018,114 min,7.1,Travis Knight,Paramount Pictures
5561,Maze Runner: The Death Cure,2018,143 min,6.2,Wes Ball,20th Century Fox
5562,12 Strong,2018,130 min,6.6,Nicolai Fuglsig,Warner Bros. Pictures
5564,Nostalgia,2018,114 min,5.4,Mark Pellington,Twilight Child Productions
5565,Tully,2018,95 min,7.0,Jason Reitman,Small Planet
5570,Solo: A Star Wars Story,2018,135 min,7.0,Ron Howard,Walt Disney Pictures
5573,The First Purge,2018,98 min,5.1,Gerard McMurray,Universal Pictures
5577,The Meg,2018,113 min,5.7,Jon Turteltaub,Warner Bros. Pictures
5578,First Man,2018,141 min,7.4,Damien Chazelle,Universal Pictures
5580,The Grinch,2018,86 min,6.3,Scott Mosier,Universal Pictures
5581,Fantastic Beasts: The Crimes of Grindelwald,2018,134 min,6.7,David Yates,Warner Bros. Pictures
5583,Creed II,2018,130 min,7.4,Steven Caple Jr.,MGM
5584,Bad Times at the El Royale,2018,141 min,7.1,Drew Goddard,20th Century Fox
5585,Ralph Breaks the Internet,2018,111 min,7.2,Rich Moore,Walt Disney Animation Studios
5588,Daredevil,2018,54 min,8.7,,20th Century Fox
5592,Jack Ryan,2018,60 min,8.2,,Paramount Pictures
5595,UnREAL,2018,42 min,7.9,,Self Conscious Entertainment
