MV_ID,MV_NAME,MV_RELDATE,MV_RUNTIME,MV_BUDGET,MV_RATING,MV_LINK,MV_DIRECTOR
5501,The Guilty,2018,85 min,207140,7.6,www.imdb.com/title/tt6742252/?ref_=ttls_li_tt,Gustav Möller
5502,Mission: Impossible - Fallout,2018,147 min,220159104,7.8,www.imdb.com/title/tt4912910/?ref_=ttls_li_tt,Christopher McQuarrie
5503,Searching,2018,102 min,26020957,7.7,www.imdb.com/title/tt7668870/?ref_=ttls_li_tt,Aneesh Chaganty
5504,A Star Is Born,2018,136 min,213097381,7.8,www.imdb.com/title/tt1517451/?ref_=ttls_li_tt,Bradley Cooper
5505,Spider-Man: Into the Spider-Verse,2018,117 min,187622827,8.6,www.imdb.com/title/tt4633694/?ref_=ttls_li_tt,Rodney Rothman
5506,Blindspotting,2018,95 min,4333394,7.4,www.imdb.com/title/tt7242142/?ref_=ttls_li_tt,Carlos López Estrada
5507,You Were Never Really Here,2018,89 min,2523610,6.8,www.imdb.com/title/tt5742374/?ref_=ttls_li_tt,Lynne Ramsay
5508,A Quiet Place,2018,90 min,188024361,7.6,www.imdb.com/title/tt6644200/?ref_=ttls_li_tt,John Krasinski
5509,The Miseducation of Cameron Post,2018,91 min,904703,6.6,www.imdb.com/title/tt6257174/?ref_=ttls_li_tt,Desiree Akhavan
5510,Eighth Grade,2018,93 min,13539709,7.5,www.imdb.com/title/tt7014006/?ref_=ttls_li_tt,Bo Burnham
5511,Free Solo,2018,100 min,16955800,8.4,www.imdb.com/title/tt7775622/?ref_=ttls_li_tt,Elizabeth Chai Vasarhelyi
5512,A Prayer Before Dawn,2018,116 min,13291,6.9,www.imdb.com/title/tt4080956/?ref_=ttls_li_tt,Jean-Stéphane Sauvaire
5513,Deadpool 2,2018,119 min,324591735,7.8,www.imdb.com/title/tt5463162/?ref_=ttls_li_tt,David Leitch
5514,Apostle,2018,130 min,26372,6.3,www.imdb.com/title/tt6217306/?ref_=ttls_li_tt,Gareth Evans
5515,Hold the Dark,2018,125 min,24771,5.6,www.imdb.com/title/tt5057140/?ref_=ttls_li_tt,Jeremy Saulnier
5516,Widows,2018,129 min,42402632,7.1,www.imdb.com/title/tt4218572/?ref_=ttls_li_tt,Steve McQueen
5517,Avengers: Infinity War,2018,149 min,678815482,8.5,www.imdb.com/title/tt4154756/?ref_=ttls_li_tt,Joe Russo
5518,BlacKkKlansman,2018,135 min,48686605,7.5,www.imdb.com/title/tt7349662/?ref_=ttls_li_tt,Spike Lee
5519,Overlord,2018,110 min,21704844,6.8,www.imdb.com/title/tt4530422/?ref_=ttls_li_tt,Julius Avery
5520,Assassination Nation,2018,108 min,1959204,5.9,www.imdb.com/title/tt6205872/?ref_=ttls_li_tt,Sam Levinson
5521,Incredibles 2,2018,118 min,608581744,7.8,www.imdb.com/title/tt3606756/?ref_=ttls_li_tt,Brad Bird
5522,Mowgli: Legend of the Jungle,2018,104 min,40953,6.5,www.imdb.com/title/tt2388771/?ref_=ttls_li_tt,Andy Serkis
5523,Revenge,2018,108 min,102091,6.3,www.imdb.com/title/tt6738136/?ref_=ttls_li_tt,Coralie Fargeat
5524,6 Balloons,2018,74 min,2788,5.8,www.imdb.com/title/tt6142496/?ref_=ttls_li_tt,Marja-Lewis Ryan
5525,Monsters and Men,2018,96 min,500101,5.5,www.imdb.com/title/tt7689906/?ref_=ttls_li_tt,Reinaldo Marcus Green
5526,Disobedience,2018,114 min,3480702,6.6,www.imdb.com/title/tt6108178/?ref_=ttls_li_tt,Sebastián Lelio
5527,Black Panther,2018,134 min,700059566,7.3,www.imdb.com/title/tt1825683/?ref_=ttls_li_tt,Ryan Coogler
5528,Isle of Dogs,2018,101 min,32015231,7.9,www.imdb.com/title/tt5104604/?ref_=ttls_li_tt,Wes Anderson
5529,"Juliet, Naked",2018,97 min,3444895,6.6,www.imdb.com/title/tt5607096/?ref_=ttls_li_tt,Jesse Peretz
5530,Black Mirror: Bandersnatch,2018,90 min,83011,7.3,www.imdb.com/title/tt9495224/?ref_=ttls_li_tt,David Slade
