PC_ID,PC_NAME,PC_RATING
51,Paramount Pictures,
52,Warner Bros. Pictures,
53,Amazon Studios,
54,FilmRise,
55,Greenwich Entertainment,
56,20th Century Fox,
57,Walt Disney Pictures,
58,Focus Features,
59,NEON,
60,Disney/Pixar,
61,Netflix,
62,Lionsgate and Roadside Attractions,
63,Magnolia Pictures,
64,Universal Pictures,
65,New Line Cinema,
66,Windy Hill Pictures,
67,Fingerprint Releasing and Bleecker Street,
68,Columbia Pictures,
69,STX Entertainment,
70,Twilight Child Productions,
71,Small Planet,
72,MGM,
73,Walt Disney Animation Studios,
74,Self Conscious Entertainment,
