TW_ID,TW_DETAIL,TW_HASHTAG,USR_ID
21801,The Guilty (2018) - Read 15 Movie Reviews \nLink: https://t.co/ZbVWDatgRJ \n#TheGuilty,#TheGuilty,4228094679
21802,Has anybody been paying attention? @realDonaldTrump NEVER gives in or gives up. @POTUS Trump believes and eye for a… https://t.co/qZ8eRCYUbQ,#TheGuilty,961325626304221000
21803,"?? Hmm, if the report was dropped this way so #Trump could make The Dems “demand the report”.  They always take the… https://t.co/JcGVEqCrqe",#TheGuilty,961325626304221000
21804,#TheGuilty\nSmall but very entertaining thriller is simple but very well tale.\nTotally recommendable. https://t.co/x3PdBKBgcY,#TheGuilty,70786076
21805,AG Barr exonerated President Trump. Barr is not going to recuse himself when the indictments come pouring down. Wha… https://t.co/1uozvEYJpQ,#TheGuilty,961325626304221000
21806,#DELSKYLDIGE #TheGuilty I was wondering that western Christian people  find her conversation due to mame Eben and c… https://t.co/X3giZSPmZW,#TheGuilty,2795928230
21807,The Guilty (2018) - Read 15 Movie Reviews \nLink: https://t.co/ZbVWDatgRJ \n#TheGuilty,#TheGuilty,4228094679
21808,@CodeOfPatriots @mitchellvii @SHARKSURVIVOR1 Except that’s not taking into consideration Executive Order 13818. Whe… https://t.co/OWBup7n8jG,#TheGuilty,961325626304221000
21809,Denmarks submission for this years Oscars The Guilty will be shown on Tuesday 26th March at  7:\n3 pm at the gat… https://t.co/XSR9UqFYkO,#TheGuilty,956918603667968000
21810,"RT @SignatureEntUK: Nice to see #THEGUILTY at the top of the Independent iTunes Charts! \n\nYou can currently rent this award-winning, edge o…",#TheGuilty,21885099
21811,"Nice to see #THEGUILTY at the top of the Independent iTunes Charts! \n\nYou can currently rent this award-winning, ed… https://t.co/b89AG6ObJe",#TheGuilty,249104433
21812,"RT @EdsFilmicForays: #MissionImpossibleFallout - Out on DVD/Blu-ray. HE DOES HIS OWN STUNTS, YKNOW. Heres my spoiler-free review: https:/…",#MissionImpossibleFallout,777834278566658000
21813,"RT @TomCruise: Thank you to the amazing cast, crew and people of Abu Dhabi. That’s a wrap. #MissionImpossibleFallout https://t.co/yKhcO9Cy61",#MissionImpossibleFallout,1110565597849570000
