USR_ID,USR_NAME,USR_DESC,USR_CREATED_DATE,USR_CREATED_TIME,USR_FOLLOWERS,USR_FRIENDS,USR_STATUS
4228094679,Cinafilm,Read movie reviews from critics and film fans. Cinafilm helps you decide which movie to watch next.,2015-11-19,18:05:58,2,2,
9.61326E+17,AmericanMoxie,"God Loving, Serial Entrepreneur w/American Privilege. Positive, & Logical. Thankful citizen to our Great President & Military! #RealHeroes ????????????",2018-02-07,19:47:44,1025,1025,
70786076,Carlos Argüelles,I feel an absolute passion for film and theater and everything about them.,2009-09-01,21:07:51,201,201,
2795928230,human,??(?????)?????????('78)?????!,2014-09-07,13:25:06,659,659,
9.56919E+17,Stafford Film Theatre,"Stafford Film Theatre show films on a Tuesday night, at 7:30pm, at the gatehouse theatre.",2018-01-26,15:55:48,158,158,
21885099,Marek Steven,Movie Publicity @SignatureEntUK  ex-@WitchfinderPR head honcho,2009-02-25,16:41:17,4065,4065,
249104433,Signature Entertainment,Signature Entertainment is the most exciting Film Distributor in the UK. Follow @FrightFestFilms for our @FrightFest horror label.,2011-02-08,11:16:22,1653,1653,
7.77834E+17,Ed Malcomson,Film Reviewer and Fan. Cultural Commentator. Lover of Life. (Never without my furry sidekick Willoughby.),2016-09-19,11:38:38,2106,2106,
1.11057E+18,Tom cruise,Actor.producer.Running in movies since 1981.,2019-03-26,15:34:06,34,34,
2253589974,Jayant Goyal,,2013-12-19,14:16:58,1015,1015,
48328524,HBO India,#ExperienceTheMagic Of True blue Hollywood Entertainment.,2009-06-18,12:08:53,125,125,
2320757171,Si Overton,"A son of York with a heart for film. Living each day in the great theatre of life, enjoying a good ale, watching and collecting films and sharing with others.",2014-02-02,21:54:49,159,159,
3050629049,Eva Luna,"*I solemny swear that I am up to no good*\nI'm a Ravenclaw girl with an enormous passion for books, movies and art exhibitions.\n*Mischief managed*",2015-02-21,20:08:55,2709,2709,
1.047E+18,honest.views,"Honest views. Most times.\nIllogical, nonsense talk will not be tolerated.\nThe idea is to be a better person and a better citizen everyday.\nBe likewise.",2018-10-02,5:33:32,16,16,
68799317,Ed Powell,"25% German / 75% British. West Wing and rugby literate, frustrated filmmaker.",2009-08-25,20:54:49,591,591,
63797855,Tejan Shrivastava,Graphic Designer | Video Editor | Cricket Lover | Movie Buff | Traveler | Photographer | Part-time Reviewer and YouTuber | Marvel Fan,2009-08-07,18:46:33,209,209,
903610021,(·T·),????????????????????????????????????????????????????????????????????????swat???????????5??1???…?????????,2012-10-25,10:04:46,124,124,
1.08733E+18,???,????·??????·ONE OK ROCK\n·???????·????????????,2019-01-21,12:26:56,104,104,
1716667273,Scott Sullivan,??Filmmaker ??Movie Lover ??Adventurer,2013-08-31,19:52:06,95,95,
1.05153E+18,Lokesh DL,,2018-10-14,17:28:39,45,45,
428846654,Jenna Harper,Snapchat: jenna_la | 24. Aspiring author/screenwriter. Booktube amateur. BA student. Critique reader. Traveller. Avid TV watcher. Proud writer of fanfiction.,2011-12-05,7:42:28,594,594,
611623330,missbeckylou,,2012-06-18,11:49:38,350,350,
1.01735E+18,Takeru_D,Im in love with noodle. so here i am wandering searching for noodle..|dyslexic|music is therapy|,2018-07-12,9:50:35,100,100,
1103955416,#Londonislovinit,Promoting everything that is #LONDON under the Hashtag #Londonislovinit Use this 4 a RT everytime #Londonhour every Thurs 8-9pm adam@atsocialmedia.co.uk ??,2013-01-19,15:26:06,15428,15428,
456074914,Ian Fazakerley,First appeared 1969,2012-01-05,21:05:24,448,448,
116827742,Mr. A Kundi,"taking a break from everything until further notice! Meanwhile, Check out my #photography #meetups in #London?? {https://t.co/pe76qoVsXJ} Links Affiliated",2010-02-23,18:02:12,2257,2257,
21604733,James Kidger,,2009-02-22,22:16:59,703,703,
8.36941E+17,GAcuna,Mother-of-four girls and a RodeoMom. I love God my family and our country! We need this wAll - i believe in keeping our country safe and Bless America again!,2017-03-01,14:07:07,85,85,
120177366,Kartik Kulkarni,Live and Let Live,2010-03-05,18:04:49,51,51,
66467134,McAwesomeness,"Sweet, sassy and a bit bad assy * Sports fanatic * Movie buff * Telly junkie * Tea +ve * Prefer anonymity. 'Main Apni Favourite Hoon'",2009-08-17,20:00:28,212,212,
8.41727E+17,Stephen Actually Tweets,"I  AM A Christian.. I love  my Lord & Savior Jesus Christ! i'm 29, marvel, Star Wars, love the movie's  Creed (2015), & Creed 2 (2018).",2017-03-14,19:05:23,344,344,
24939047,Robert,I watch way too much tv ... and sometimes even write about it! Check out @Earth9DC,2009-03-17,19:39:11,1832,1832,
2969341059,Roger Smith,Crew Chief for Lee Johnston at Ashcourt Racing on the roads and in British Supersport Championship,2015-01-09,8:17:05,267,267,
1.05097E+18,Tanja Lonergan,Grew up in Montreal born in Europe. I plan on being a 100 and you’re all invited to my Birthday Party.,2018-10-13,4:34:42,74,74,
9.27151E+17,Raj D official,small town guy. big city dreams.,2017-11-05,12:31:56,62,62,
7.71497E+17,TheCinema_Cephalopod,Welcome to the Cinema Cephalopod: your resource for reviews on all Netflix films and shows. Please tag us in posts about your favorite Netflix materials.,2016-09-01,23:54:44,1010,1010,
155933967,Hemesh ?? Nimbalkar,{1995} - {??????} - { ???????? ?????},2010-06-15,15:12:05,241,241,
243350702,DutchAppeal,#UnlimitedGold #Pathe bezoeker! #Vue #Moviepass houder! #IMAX #4DX #DolbyCinema,2011-01-26,21:21:33,283,283,
3179238396,Pathak P.,GivE Me FreEdOm oR gIve mE DEatH!!!!,2015-04-29,12:34:38,213,213,
366771783,Justin,"Working full time, studying part-time, a loving dad all the time and tweets during free time",2011-09-02,19:58:22,5001,5001,
1.10033E+18,Frank,"legal father of two, possibly biological father of a donkey brains, ex-husband, pub owner, gun enthusiasts, egg lover",2019-02-26,9:49:41,3743,3743,
9.08029E+17,Sweeps4Peeps.com,We handpick #sweepstakes and #giveaways you can enter using just your Twitter account. #Win #prizes by simply following and retweeting others!,2017-09-13,18:05:47,43,43,
539165451,akshay desai,"Electrical Engineer, Foodie, Film buff, Cricket fan",2012-03-28,14:15:35,348,348,
1116159427,Greg Salthouse,"Big P6 fan, family man.",2013-01-24,7:03:59,63,63,
1464315997,Larry at Ampersand,"Heritage property restoration, renovation and repair, motorbikes, engineering and 'stuff'.\nOpinions expressed are my own and those of my employer.",2013-05-28,9:59:11,424,424,
427305859,Coxy,"I play golf. Support Bath RFC and Glos CCC. A Marlborough, Wiltshire boy now living in Sunningdale, Berkshire",2011-12-03,11:02:23,459,459,
1919973978,Malcolm,,2013-09-30,13:00:04,213,213,
9.46876E+17,Peter Elliott,,2017-12-29,22:48:34,734,734,
19899301,Mandy McGrady,"(T)wittering on about anything really, not much point to it, but hey, You still signed up! xx",2009-02-02,9:21:35,292,292,
351619045,arron,im a chef by nature motorbike nut at heart and a spurs fan living in manchester,2011-08-09,14:19:18,3110,3110,
20186972,Natalie Taylor,Peering in on the Twitterverse. Press fleet guru. Biker. Sing and rock stages in my spare(!) time. All views my own.,2009-02-05,20:55:44,1055,1055,
354205351,Beckers ??,"@Honda_UK, @honda_ukbikes Honda Brand Ambassador #Biker #petrolhead, @IOM_TT, WSB, @officialBSB MotoGP BTCC #Fireblade, @RoyalNavy #RM #Wales #bloodbiker ?? ??",2011-08-13,9:30:07,4885,4885,
139153610,Darren Coupland,"VR|46 Super fan, MotoGP, Road Racing & BSB fanatic, mediocre motorsport photographer and full time BI Developer",2010-05-01,18:23:23,318,318,
9.76849E+17,Jock Biker,"Scottish biker, based in Edinburgh and exploring the UK and Europe on two wheels.",2018-03-22,15:50:17,21,21,
491521774,Jamie McKee,made in GB ????,2012-02-13,18:40:23,716,716,
8.10225E+17,Sammy lewis,"if you never fail , your not truly pushing yourself to the limit . if you never push yourself to the limit , how do you know what your truly capable of ?",2016-12-17,20:46:23,325,325,
2472522037,H Cavill Clubhouse,"Henry Cavill fan page. Different genres' of music, animals, fashion,  sport,  cars, health & fitness, books & games,, tv/film and travel",2014-05-01,13:32:33,1723,1723,
767783292,Derek Horne,"Playing guitar, MotoGP, motorcycle racing & two stroke enthusiast, amateur photographer and aerospace geek ??",2012-08-19,15:54:25,364,364,
116166169,SellmySoul,YouAre(Not)Alone/YouCan(Not)Advance/?????/?????/WWE/bluray/movie/??/?????/L'Arc~en~Ciel/m-flo/???/??/???/?????/PS4/R&Bsoul/???/MakeItBetterPlace,2010-02-21,12:04:27,2936,2936,
19290230,Emma Staples,"All things digital, bookworm, supermum (wannabe), football, bikes, shopping and cake",2009-01-21,14:56:46,1148,1148,
19267296,Chris Sunderland,,2009-01-21,0:34:11,413,413,
2159836623,Missslothy,"Family and writing - my two favourite things.  Longtime Hawaii Five 0 #H50 fan girl.  Other current tv obsessions - Lucifer, MotoGP, Sneaky Pete",2013-10-30,7:14:21,112,112,
296950899,shawn cullum,"Live life to the fullest. Life long gooner, #COYG #FOYS love motorbikes especially my R1",2011-05-11,17:30:27,977,977,
25855145,Danny Gartside™,"Rock & Metal Music Photographer, \nPhotographer of Motorcycle Road Racing, \nDevoted @KTM_UK owner #MyKTM #DG75",2009-03-22,18:25:54,8826,8826,
416536319,Lorraine Ziff,"OFFICIAL Account for Lorraine Ziff: Entrepreneur, Actor, VO Artist, Story Editor, Producer, MSW; SAGAFTRA, AEA https://t.co/zYoU8LGY2e",2011-11-19,20:44:30,3607,3607,
152714268,Dave Selby,"LFC in my blood, Klopp for the Kop, don't buy the Scum. love all bike racing, FavsAgi, Sheene Biaggi, Camier, JL99, Ellison, Rutter an JB25",2010-06-06,17:51:52,1400,1400,
